"Metric","Min","Mean","Max","Variance","Kurtosis"
"Prox",-12.4999999854329,1601.51508007385,37042.2277281966,23706099.1632823,25.6515019451161
"Dist",-37.6549028488782,-8.63872167221384,59.8835094035009,328.007078855986,4.86446755592654
"Compart",0,0,0,0,NA
"ClusCoeff",-20.7031246267578,5.50257027549033,217.1874981625,1252.07311300043,17.0994019301677
"Flux",0.077955446902986,1.54564832775122,3.4102113016413,0.630861922971232,2.35492090778187
"Degree",-23.4375001464674,-7.19080347813495,25.7812507546875,102.821268889247,3.16688844235804
"Gyrate",-52.0441482241675,-42.6805144549397,33.9359543293941,236.95894196477,8.7274730895175
"BC",-12.499999475,Inf,Inf,NA,NA
"Cohesion",-0.0234105006460926,-0.00159222643206401,0.0633958283104634,0.000329948569305438,3.63733715893639
"BA",-9.90816994407401,0.790299220033284,16.4294044776404,31.6975438891764,2.67108451713001
"AWGyrate",-1.70016231150427,-0.973900199470238,-0.265218886879733,0.0962767133619773,2.44278848843572
"AWF",0.253007639861169,44.9588448647802,466.396478643626,3746.36826970317,23.8312501685844
"IIC",0.111630957488152,10.8267266194479,49.4490977004942,89.2888647424015,5.06918758523662
"PC",0.176008742917954,13.0493728376621,56.9371480063077,111.216865958872,5.29395522237271
"ECA",0.112789518288068,12.1484616983165,59.9961373831843,115.419309779233,5.96417143981533
"ProtConn",0.112789526686813,12.1484617096701,59.9961373805002,115.41930982305,5.9641714357696
"Prot",1.99993556389645,14.7118096566697,36.045937003137,50.42064751167,2.81924005809005
