num_iter,prot,nn_d,area_buff,prox,eca,flux,awf,pc,protconn,protconn_prot,protconn_unprot,protconn_trans,protconn_within,protconn_contig,iic,bc,degree,clustering_coeff,compartment,cohesion,gyrate,aw_gyrate,mean_patch_area,mean_patch_peri,mean_patch_shape,total_edge,edge_density
1,11.0087,11385.46224,1586.653807,138.8517529,4303.52985,471.977,6586300,4549.77,4.4864,21.7193,21.7193,78.2807,3.512,0.9744,4123.59,0.071428571,0.102040816,0.095238095,0.803700894,97.54766932,12208.44064,15659.38079,78900,205000,1.83262368,0,0
2,10.2154,11993.5585,1443.543093,17157.34483,3629.280757,473.718,3847500,3881.39,3.7835,15.4975,15.4975,84.5025,3.1972,0.5864,3602.57,0,0.102040816,0.119047619,0.760194741,97.40836939,11957.17711,15124.35578,117250,268000,1.984883381,0,0
3,11.0649,12008.9706,1637.727914,17161.98162,4420.269236,478.665,7047000,4826.88,4.6081,23.4727,23.4727,76.5273,3.5265,1.0816,4321.89,0.071428571,0.117346939,0.119047619,0.788982496,97.55424591,12221.58646,15669.18294,76650,223000,2.010306505,0,0
4,10.9804,12932.13267,1632.414193,17158.99562,4518.783081,472.535,7863240,4864.69,4.7108,25.6055,25.6055,74.3945,3.5046,1.2062,4296.25,0.071428571,0.107142857,0.047619048,0.906773188,97.53672541,11890.73699,15242.82119,83250,236000,2.039605895,0,0
5,11.6827,9003.140092,1637.727914,17161.98162,4611.925188,479.446,7895530,5024.19,4.8079,24.6058,24.6058,75.3942,3.6248,1.183,4396.14,0.071428571,0.117346939,0.119047619,0.788982496,97.58197028,12677.16408,15753.8739,46650,150000,1.748909209,0,0
6,11.7436,8497.97996,1637.727914,17161.98162,4619.023557,479.564,7918810,5029.08,4.8153,24.6428,24.6428,75.3572,3.6287,1.1866,4396.71,0.071428571,0.117346939,0.119047619,0.788982496,97.59257925,12559.5909,15706.42872,46250,158000,1.919404143,0,0
7,11.1059,8716.976396,1637.727914,17161.98162,4518.399386,479.504,7693270,4944.29,4.7104,24.9236,24.9236,75.0764,3.5364,1.174,4328.2,0.071428571,0.117346939,0.119047619,0.788982496,97.55549762,12336.68103,15793.81071,75500,193000,1.761635497,0,0
8,10.5556,12917.92467,1429.012914,17159.00972,4141.130687,478.477,5415200,4576,4.3171,22.197,22.197,77.803,3.3588,0.9583,3925.81,0.071428571,0.107142857,0.119047619,0.830501784,97.47266426,11692.13644,14695.43797,102750,251000,1.973489828,0,0
9,11.8332,11077.56575,1577.839843,17160.04158,4622.093122,474.126,7927360,5033.45,4.8185,24.613,24.613,75.387,3.6325,1.186,4400.34,0.071428571,0.102040816,0.142857143,0.868361313,97.5566886,12914.35651,15681.71924,39350,125000,1.601867261,0,0
10,10.3158,14800.35776,1429.012914,17159.00972,4032.73668,478.306,5211410,4487.66,4.2041,22.7075,22.7075,77.2925,3.2494,0.9546,3850.58,0.071428571,0.107142857,0.119047619,0.830501784,97.48714625,12049.17984,15365.53612,113250,213000,1.65719781,0,0
11,11.8051,11705.87319,1605.597579,17160.85387,4621.421654,471.578,7927440,5032.29,4.8178,24.6221,24.6221,75.3779,3.6316,1.1863,4399.48,0.071428571,0.091836735,0.095238095,0.86648387,97.57202317,12826.45876,15698.20956,40650,133000,1.6982177,0,0
12,11.3427,11388.10395,1479.215414,17156.47056,4585.737963,475.442,7903370,4906.11,4.7806,25.025,25.025,74.975,3.5843,1.1963,4308.39,0.071428571,0.107142857,0.119047619,0.823665077,97.57347725,12323.12801,15734.35928,66500,194000,1.88096084,0,0
13,11.6084,11667.73673,1473.037057,17139.60248,4466.696404,474.98,7223840,4846.63,4.6565,22.2864,22.2864,77.7136,3.6187,1.0378,4277.71,0,0.102040816,0.119047619,0.802553857,97.5805906,12600.74392,15805.29846,53950,167000,1.795989846,0,0
14,10.8982,11221.89497,1348.813914,17135.23959,4037.149179,475.411,5055900,4401.19,4.2087,17.2973,17.2973,82.7027,3.4807,0.728,3915.22,0,0.096938776,0.119047619,0.748727914,97.53810157,12322.60761,15826.55107,84550,205000,1.783309617,0,0
15,11.0449,11388.10395,857.2050572,17063.56022,4537.008622,475.894,7821240,4841.33,4.7298,25.1467,25.1467,74.8533,3.5404,1.1894,4246.85,0.071428571,0.107142857,0.119047619,0.798243895,97.61216546,12810.31025,15784.98221,55000,172000,1.905924841,0,0
16,10.0013,12886.71516,1392.468986,134.2149632,3679.161185,468.494,4428850,3974.36,3.8355,18.0988,18.0988,81.9012,3.1413,0.6942,3556.76,0,0.086734694,0.095238095,0.773887574,97.38023341,11869.34683,15044.81886,128050,281000,1.961376356,0,0
17,10.8508,12902.12727,1586.653807,138.8517529,4259.50078,472.761,6519550,4559.88,4.4405,21.723,21.723,78.277,3.4759,0.9646,4095.33,0.071428571,0.102040816,0.095238095,0.803700894,97.53078579,12133.75618,15606.37154,86650,228000,1.939264443,0,0
18,10.7663,13825.28934,1581.340086,135.8657528,4355.712451,466.557,7286230,4623.76,4.5408,23.9407,23.9407,76.0593,3.4537,1.0871,4068.27,0.071428571,0.091836735,0.023809524,0.916449694,97.51251996,11802.90671,15170.8262,93200,248000,2.027320888,0,0
19,11.4686,9896.296759,1586.653807,138.8517529,4442.139885,473.419,7271370,4740.08,4.6309,22.7869,22.7869,77.2131,3.5756,1.0552,4173.62,0.071428571,0.102040816,0.095238095,0.803700894,97.56051198,12589.3338,15695.90137,37933.33333,104666.6667,1.448082225,0,0
20,11.5295,9391.136627,1586.653807,138.8517529,4449.334178,473.529,7292880,4745.25,4.6384,22.8275,22.8275,77.1725,3.5796,1.0588,4174.22,0.071428571,0.102040816,0.095238095,0.803700894,97.57117675,12471.76062,15647.6551,56750,167000,1.868605897,0,0
21,10.8918,9610.133062,1586.653807,138.8517529,4342.762725,473.456,7060030,4652.71,4.5273,23.0019,23.0019,76.9981,3.486,1.0414,4102,0.071428571,0.102040816,0.095238095,0.803700894,97.5327213,12248.85076,15733.60397,84500,199000,1.710361207,0,0
22,10.3415,13129.23856,1377.938807,135.8798573,3929.906259,472.416,4764790,4235.42,4.0969,19.3138,19.3138,80.6862,3.3057,0.7913,3674.91,0.071428571,0.091836735,0.095238095,0.835186185,97.4466437,11604.30616,14609.3143,112400,256000,1.905392444,0,0
23,11.6191,11970.72241,1526.765736,136.9117121,4452.403742,468.09,7301290,4749.18,4.6416,22.7967,22.7967,77.2033,3.5834,1.0581,4178.04,0.071428571,0.086734694,0.119047619,0.875415111,97.53523571,12826.52623,15623.16923,50150,132000,1.508863173,0,0
24,10.1017,15693.51442,1377.938807,135.8798573,3772.207368,471.981,4272290,4088.91,3.9325,18.7675,18.7675,81.2325,3.1945,0.738,3594.44,0.071428571,0.091836735,0.095238095,0.835186185,97.46261925,11961.34956,15291.8715,123150,216000,1.580539222,0,0
25,11.591,12599.02986,1554.523471,137.7239991,4451.636351,465.543,7301370,4747.74,4.6408,22.8057,22.8057,77.1943,3.5825,1.0584,4177.14,0.071428571,0.076530612,0.071428571,0.871187122,97.5506572,12738.62848,15639.80064,51350,141000,1.644980073,0,0
26,11.1286,13374.74701,1428.141307,133.3406957,4365.784461,468.568,6905430,4523.46,4.5513,22.3414,22.3414,77.6586,3.5345,1.0168,4081.09,0.071428571,0.091836735,0.095238095,0.828654813,97.55098896,12235.29773,15673.94249,76900,201000,1.822156013,0,0
27,11.3943,12560.89339,1421.96295,116.4726098,4306.407567,468.945,6597920,4581.63,4.4894,20.4915,20.4915,79.5085,3.5694,0.9199,4065.61,0,0.086734694,0.095238095,0.794986461,97.55892106,12512.91364,15747.65065,64750,172000,1.715238984,0,0
28,10.6841,12115.05164,1297.739807,112.1097225,3919.35463,469.382,4435290,4208.85,4.0859,16.0671,16.0671,83.9329,3.4294,0.6565,3742.88,0,0.081632653,0.095238095,0.80266899,97.51472301,12234.77733,15765.9724,95600,210000,1.700204974,0,0
29,10.8308,12281.26062,806.13095,40.43035337,4361.371961,469.829,7174970,4498.72,4.5467,23.241,23.241,76.759,3.49,1.0567,4016.06,0.071428571,0.091836735,0.095238095,0.800645347,97.58913094,12716.20638,15723.7306,61766.66667,175333.3333,1.848343871,0,0
30,10.0575,12595.26539,1443.543093,17157.34483,3683.094064,474.851,4352820,3999.89,3.8396,17.7655,17.7655,82.2345,3.1575,0.6821,3570.19,0,0.102040816,0.119047619,0.760194741,97.38556172,11882.49265,15058.9433,125200,295000,2.122710332,0,0
31,9.973,14433.3856,1438.229371,17154.35883,3685.20439,468.241,4498970,3968.29,3.8418,18.4496,18.4496,81.5504,3.133,0.7088,3539.11,0,0.091836735,0.047619048,0.865865073,97.36173176,11551.64318,14583.21584,131350,311000,2.171582231,0,0
32,10.6753,10932.86753,1443.543093,17157.34483,3794.941332,475.16,4534020,4105.71,3.9562,17.4216,17.4216,82.5784,3.267,0.6892,3659.73,0,0.102040816,0.119047619,0.760194741,97.43036007,12338.07027,15185.36125,95400,218000,1.820768236,0,0
33,10.7362,9999.232886,1443.543093,17157.34483,3800.984538,475.269,4553970,4108.77,3.9625,17.4447,17.4447,82.5553,3.2713,0.6912,3660.41,0,0.102040816,0.119047619,0.760194741,97.4416736,12220.49709,15134.42646,94800,230000,2.034363574,0,0
34,10.0985,10218.22932,1443.543093,17157.34483,3675.803848,475.197,4321230,4001.54,3.832,17.3125,17.3125,82.6875,3.1686,0.6634,3577.84,0,0.102040816,0.119047619,0.760194741,97.39187952,11997.58723,15197.34,123000,261000,1.85224383,0,0
35,9.5482,13737.33482,1234.828093,17154.37293,3177.383264,474.157,2025990,3507.63,3.3124,10.3663,10.3663,89.6337,2.9691,0.3434,3078.88,0,0.091836735,0.119047619,0.796222137,97.28106457,11353.04264,13951.77453,150950,319000,2.05465902,0,0
36,10.8258,12578.81867,1383.655021,17155.40479,3804.629646,469.831,4562500,4113.91,3.9663,17.4172,17.4172,82.5828,3.2755,0.6908,3664.77,0,0.086734694,0.142857143,0.818745761,97.40498661,12575.26271,15114.54652,88150,195000,1.687370658,0,0
37,9.3084,16301.61068,1234.828093,17154.37293,2980.067801,473.722,1533500,3329.25,3.1067,8.4334,8.4334,91.5666,2.8447,0.262,2982.38,0,0.091836735,0.119047619,0.796222137,97.30606929,11710.08603,14676.62326,161000,281000,1.746332974,0,0
38,10.7977,13207.12611,1411.412757,17156.21708,3803.862255,467.284,4562580,4112.02,3.9655,17.4262,17.4262,82.5738,3.2744,0.691,3663.74,0,0.076530612,0.095238095,0.799892339,97.4212006,12487.36495,15130.84238,89750,204000,1.797896703,0,0
39,10.3353,13982.84327,1285.030593,17151.83377,3702.950312,470.309,4166630,3850.55,3.8603,16.5378,16.5378,83.4622,3.2219,0.6384,3553.84,0,0.091836735,0.119047619,0.786176883,97.41299285,11984.03421,15142.19936,114850,264000,1.980449098,0,0
40,10.601,13729.52309,1278.852236,17134.96569,3718.585907,470.786,3922560,4017.29,3.8766,15.9015,15.9015,84.0985,3.2602,0.6164,3595.32,0,0.086734694,0.119047619,0.836068036,97.42703895,12261.65012,15234.78708,102000,234000,1.893944638,0,0
41,9.8908,12723.14789,1344.617664,17134.96569,3586.019078,472.414,3846890,3898.44,3.7384,16.9093,16.9093,83.0907,3.1063,0.6321,3473.87,0,0.091836735,0.119047619,0.824246977,97.36901901,11983.51381,15222.37763,132450,275000,1.880060209,0,0
42,10.0375,12889.35687,663.0202357,17058.92343,3697.770421,471.57,4436180,3821.49,3.8549,17.6876,17.6876,82.3124,3.173,0.6818,3478.98,0,0.091836735,0.119047619,0.760253639,97.44751489,12446.99546,15178.36755,87733.33333,216666.6667,1.912569129,0,0
43,10.8225,14448.7977,1632.414193,17158.99562,4461.132817,473.193,7701180,4849.75,4.6507,25.4215,25.4215,74.5785,3.4684,1.1823,4269.13,0.071428571,0.107142857,0.047619048,0.906773188,97.51895771,11816.05253,15183.38784,91050,265000,2.195666244,0,0
44,11.5248,8428.932748,1637.727914,17161.98162,4560.893673,480.297,7771780,5013.13,4.7547,24.4991,24.4991,75.5009,3.5899,1.1649,4369.64,0.071428571,0.117346939,0.119047619,0.788982496,97.56708607,12602.47962,15705.15593,54900,175000,1.87288337,0,0
45,11.5857,10284.50219,1637.727914,17161.98162,4562.236608,480.218,7753740,5010.92,4.7561,24.4391,24.4391,75.5609,3.5938,1.1623,4370.21,0.071428571,0.117346939,0.119047619,0.788982496,97.57786573,12484.90644,15657.12842,54700,184000,2.03375863,0,0
46,10.948,10233.64143,1637.727914,17161.98162,4458.542872,480.144,7520720,4924.03,4.648,24.6866,24.6866,75.3134,3.5005,1.1474,4301.29,0.071428571,0.117346939,0.119047619,0.788982496,97.53908731,12261.99658,15743.14698,82500,215000,1.867609914,0,0
47,10.3977,13752.74692,1429.012914,17159.00972,4057.485046,479.105,5225490,4531.8,4.2299,21.486,21.486,78.514,3.321,0.9088,3896.11,0.071428571,0.107142857,0.119047619,0.830501784,97.45250296,11617.45199,14625.35835,110350,276000,2.094839972,0,0
48,11.6753,12594.23078,1577.839843,17160.04158,4565.306173,474.779,7762030,5015.16,4.7593,24.4087,24.4087,75.5913,3.5976,1.1617,4373.86,0.071428571,0.102040816,0.142857143,0.868361313,97.54158035,12839.67205,15632.65004,47250,153000,1.748068935,0,0
49,10.1579,16317.02279,1429.012914,17159.00972,3904.870121,478.669,4732990,4395.18,4.0708,21.1365,21.1365,78.8635,3.2104,0.8604,3820.3,0.071428571,0.107142857,0.119047619,0.830501784,97.46819288,11974.49538,15304.51376,120750,234000,1.758420283,0,0
50,11.6472,13222.53822,1605.597579,17160.85387,4564.634705,472.231,7762090,5013.84,4.7586,24.4179,24.4179,75.5821,3.5966,1.1619,4373,0.071428571,0.091836735,0.095238095,0.86648387,97.55713953,12751.7743,15649.22854,49250,159000,1.812085946,0,0
51,11.1848,13998.25537,1479.215414,17156.47056,4480.893141,475.257,7366130,4802.08,4.6713,24.0288,24.0288,75.9712,3.5489,1.1225,4281.35,0.071428571,0.107142857,0.119047619,0.823665077,97.55757533,12248.44356,15683.63486,74450,219000,2.002816052,0,0
52,11.4505,13184.40176,1473.037057,17139.60248,4415.664889,475.66,7067120,4836.76,4.6033,22.15,22.15,77.85,3.5837,1.0196,4250.47,0,0.102040816,0.119047619,0.802553857,97.56548469,12526.05947,15756.75587,61500,190000,1.916703501,0,0
53,10.7403,12738.56,1348.813914,17135.23959,4010.770107,476.158,4969300,4419.89,4.1812,17.6256,17.6256,82.3744,3.4442,0.737,3885.44,0,0.096938776,0.119047619,0.748727914,97.52094641,12247.92315,15775.51047,92200,226000,1.872369328,0,0
54,10.887,12904.76898,857.2050572,17063.56022,4476.576565,476.518,7635670,4778.78,4.6668,24.9048,24.9048,75.0952,3.5046,1.1623,4219.41,0.071428571,0.107142857,0.119047619,0.798243895,97.59618572,12730.29119,15733.46136,60533.33333,185333.3333,1.915761154,0,0
55,11.4403,14391.20551,1632.414193,17158.99562,4651.158063,473.989,8551220,5042.87,4.8488,26.4078,26.4078,73.5922,3.5684,1.2805,4344.29,0.071428571,0.107142857,0.047619048,0.906773188,97.55078636,12271.63015,15295.53099,61150,188000,1.905853057,0,0
56,11.5012,9352.094815,1632.414193,17158.99562,4660.270834,474.208,8597680,5051.08,4.8583,26.4698,26.4698,73.5302,3.5723,1.286,4344.87,0.071428571,0.107142857,0.047619048,0.906773188,97.56170244,12154.05697,15247.56902,60300,202000,2.160623432,0,0
57,10.8635,11156.8035,1632.414193,17158.99562,4556.193402,474.015,8336960,4961.11,4.7498,26.7655,26.7655,73.2345,3.4785,1.2713,4275.53,0.071428571,0.107142857,0.047619048,0.906773188,97.52128372,11931.14711,15312.50261,88750,226000,1.884895861,0,0
58,10.3131,14675.90899,1423.699193,17156.02372,4164.536119,472.975,6041720,4572.05,4.3415,24.0406,24.0406,75.9594,3.2978,1.0437,3867.65,0.071428571,0.096938776,0.047619048,0.922544229,97.43113854,11286.60251,14158.15206,116450,292000,2.150106115,0,0
59,11.5908,13517.39285,1572.526121,17157.05558,4660.750453,468.649,8578220,5051.53,4.8588,26.3979,26.3979,73.6021,3.5762,1.2826,4348.54,0.071428571,0.091836735,0.071428571,0.964047232,97.52515222,12508.82258,15227.5834,53500,165000,1.755395025,0,0
60,10.0734,17240.18486,1423.699193,17156.02372,4016.045921,472.539,5549230,4436.67,4.1867,23.8942,23.8942,76.1058,3.1863,1.0004,3791.28,0.071428571,0.096938776,0.047619048,0.922544229,97.44799691,11643.64591,14836.55556,126350,248000,1.802267658,0,0
61,11.5627,14145.70029,1600.283857,17157.86787,4660.078986,466.101,8578300,5050.23,4.8581,26.4076,26.4076,73.5924,3.5752,1.2829,4347.67,0.071428571,0.081632653,0.023809524,0.959592998,97.5408841,12420.92483,15243.20361,55700,175000,1.871958644,0,0
62,11.1003,14921.41744,1473.901693,17153.48456,4578.159975,469.127,8182360,4840.08,4.7727,26.0974,26.0974,73.9026,3.5271,1.2455,4255.47,0.071428571,0.096938776,0.047619048,0.929339011,97.54023517,11917.59408,15259.07243,80850,232000,2.034695646,0,0
63,11.3659,14107.56383,1467.723336,17136.61648,4507.080365,469.503,7874710,4869.63,4.6986,24.1865,24.1865,75.8135,3.5622,1.1364,4224.4,0,0.091836735,0.047619048,0.896625377,97.54895461,12195.20999,15343.11345,67350,204000,1.963715305,0,0
64,10.6558,13661.72207,1343.500193,17132.25359,4083.288575,469.934,5706780,4440,4.2568,19.6142,19.6142,80.3858,3.4219,0.8349,3856.9,0,0.086734694,0.047619048,0.81636162,97.50243291,11917.07368,15337.86357,98200,241000,1.925009162,0,0
65,10.8025,13827.93105,851.8913357,17060.57422,4573.939324,470.388,8451910,4816.96,4.7683,26.9641,26.9641,73.0359,3.4826,1.2857,4193.15,0.071428571,0.096938776,0.047619048,0.910138906,97.5785879,12375.80961,15296.44929,64700,199333.3333,2.0134517,0,0
66,12.2034,7008.814481,1637.727914,17161.98162,4748.23305,481.023,8603520,5201.34,4.95,25.4471,25.4471,74.5529,3.6903,1.2596,4443.66,0.071428571,0.117346939,0.119047619,0.788982496,97.6024662,12940.48406,15739.24659,24550,111000,1.773174403,0,0
